147	モルタルのキッチン+ベンチにウェルカムグリーン。\nガラスの浴室から植物と映画が楽しめます。\n兼ねることを意識し、余計さのない、猫と植物との暮らしを設計しました。
155	コンパクトなお部屋に沢山の要素が詰め込まれているため、窮屈さを感じないよう、回遊できる動線と空気の流れを意識したプランになっています。\n様々な色や素材を使用して各室に表情を持たせた、奥様こだわりのお家です。
150	育児世代の家族の、暮らしを誂える\n三つの箱の合間の、行き来を齎らす\n彼方此方の要所の、仕舞いを拵える\n選り優りの素材の、風合いを活かす\n築半世紀の建物の、佇まいを見せる
178	グレー色が入った白い空間が心地良い\nキッチンからの眺め、広がりを感じるように\n集めているアート作品が映えるよう面で構成
182	野田は"和"だけじゃない！\n無印良品にお勤めのお施主さん\n住まいのテーマは"ほっこり"禁止 \nグレーを基調としたシックな雰囲気に住まいの半分以上を使ったLDKが見どころ
139	42年という時の流れと共に２世帯住宅から→会社の事務所→隠れ家美容院へ\n\n1階はマーブル調のタイル、モールディング、ステンレス素材を使用したラグジュアリーな空間に、\n2階は柱、梁、床根太の構造の木部をあえて空間のアクセントとし、床材と色味を合わせて温かみのある空間に。\n既存サッシが住宅感を出してしまうので、内側に1枚、室内窓を設けることでカバーした。
140	低予算フルリノベ・築古（47年）マンション・アスベストやAD、増し打ち、床下配管等のハードル\n大人を自由にする面白みを出しづらい低予算条件キツ物件にも日の目を
175	眺望の良さを活かし、外部環境の変化（ゆらぎ）を取り込むプラン。\n気持ちの変化（ゆらぎ）に寄り添う多様な居場所。それをつくり出す段差。\n照明計画を前提とした空間。
126	オンオフのメリハリを素材や床段差の切り替えでゆるくゾーニングし、各々が快適に過ごせる居場所の配置を提案。現しにした軽量鉄骨の天井が見所。コンセプトボード参照
201	壁の調湿ボード、二重サッシの断熱により大きなワンルームの温熱環境を整え、3面開口に沿う一連のベンチと小上がりの段差が、穏やかな周辺環境と接した居場所をつくる家。
115	車椅子に対応するために色々と制限がありましたがルーフバルコニーへ続くスロープが欲しいという要望を叶えた結果個性的で楽しいプランとなりました
117	生活感がない美術館のような家づくりを目指しました。\n内装だけでなく収納の見せ方にこだわっています。\n片付けが苦手な施主様が、半年たった今綺麗を保てているそうです
